TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo,day,uid,prev_device,device_changed,is_proxy,signal_device,signal_session,prev_dt,time_since_prev,signal_velocity,signal_count,ato_proxy
3169988,0,4050851,29.0,W,10000,111.0,150.0,mastercard,117.0,debit,184.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,83.0,83.0,70.0,70.0,70.0,,,,,83.0,,,,,83.0,,,,M0,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,10000_184.0,,0,0,0,0,,,0,0,0
3301550,0,7840676,42.777,C,10003,,,,,,,,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,M2,,,,,,-10.0,626946.0,,,0.0,0.0,,,,,100.0,NotFound,33.0,,New,NotFound,225.0,,266.0,305.0,,,,,,,,New,NotFound,,chrome 64.0 for android,,,,F,F,T,F,mobile,S60 Build/MMB29M,90,10003_nan,,0,0,0,0,,,0,0,0
3328484,0,8421815,39.394,C,10003,555.0,128.0,visa,226.0,debit,,,,,gmail.com,gmail.com,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.4583330154418945,0.4583329856395722,0.0,,7.0,7.0,0.0,0.0,,,,M2,,,,,,-10.0,283532.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,266.0,469.0,,,,,,,,Found,Found,,chrome 64.0 for android,,,,F,F,T,F,mobile,S60 Build/MMB29M,97,10003_nan,S60 Build/MMB29M,0,0,0,0,7840676.0,581139.0,0,0,0
3337343,0,8634882,10.755,C,10003,555.0,128.0,visa,226.0,debit,,,,,,,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,9.0,9.0,2.0,,,,,9.916666030883787,0.9166659712791444,0.0,,,9.0,0.0,,,,,,,,,,,-10.0,280222.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,266.0,315.0,,,,,,,,Found,Found,,chrome 64.0 for android,,,,F,F,T,F,mobile,S60 Build/MMB29M,99,10003_nan,S60 Build/MMB29M,0,0,0,0,8421815.0,213067.0,0,0,0
3337365,0,8635215,19.093,C,10003,555.0,128.0,visa,226.0,debit,,,,,,,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,9.0,9.0,0.0,,,,,9.916666030883787,0.9166659712791444,0.0,,,9.0,0.0,,,,,,,,,,,-10.0,244886.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,266.0,315.0,,,,,,,,Found,Found,,chrome 64.0 for android,,,,F,F,T,F,mobile,S60 Build/MMB29M,99,10003_nan,S60 Build/MMB29M,0,0,0,0,8634882.0,333.0,1,1,0
3337822,0,8642405,19.093,C,10003,555.0,128.0,visa,226.0,debit,,,,,,,1.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,2.0,4.0,1.0,10.0,10.0,0.0,,,,,139.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,-10.0,116223.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,427.0,315.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,,100,10003_nan,S60 Build/MMB29M,0,0,0,0,8635215.0,7190.0,1,1,0
3144103,0,3271265,1575.5,W,10004,529.0,150.0,visa,162.0,credit,123.0,87.0,,,gmail.com,,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,252.0,,93.0,252.0,252.0,,,,,0.0,,,,,0.0,,,,M0,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,10004_123.0,,0,0,0,0,,,0,0,0
3012474,0,663069,50.0,H,10004,529.0,150.0,visa,162.0,credit,177.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,10.666666030883787,0.6666659712791443,,,,,0.0,,,,,,,,,,,-5.0,76676.0,,,24.0,-13.0,,,0.0,0.0,97.37000274658205,NotFound,52.0,-360.0,New,NotFound,166.0,12.0,395.0,521.0,,,,,,,,Found,Found,Windows 10,firefox,24.0,1920x1080,match_status:2,T,T,F,T,desktop,rv:54.0,7,10004_177.0,,0,0,0,0,,,0,0,0
3325651,0,8345697,200.0,R,10004,529.0,150.0,visa,162.0,credit,177.0,87.0,,,gmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,98.58333587646484,0.5833330154418945,,,,0.0,,,,,,,,,,,,-15.0,448332.0,,,,,22.0,-100.0,0.0,-6.0,96.43000030517578,NotFound,52.0,-360.0,New,NotFound,,,,,691.0,14.0,IP_PROXY:ANONYMOUS,15.0,286.0,168.0,Found,Found,Found,Windows 10,ie 11.0 for desktop,24.0,,match_status:2,T,F,T,T,desktop,Trident/7.0,96,10004_177.0,rv:54.0,1,0,1,0,663069.0,7682628.0,0,1,0
3051248,0,1454318,25.0,H,10004,529.0,150.0,visa,162.0,credit,191.0,87.0,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,297.7916564941406,0.7916659712791443,,,,,,,,,,,,,,,,-5.0,108865.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,,312.0,280.0,,,,,,,,Found,Found,Windows 7,chrome 63.0,24.0,1600x900,match_status:2,T,F,T,T,desktop,Windows,16,10004_191.0,,0,0,0,0,,,0,0,0
